Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
I3 High I/O Quadruple Extra Large,i3.4xlarge,i3,58 units,Yes,x86_64,," $1,002.290 ", $687.660 , $589.986 ," $1,539.57 "
I3 High I/O Eight Extra Large,i3.8xlarge,i3,97 units,Yes,x86_64,," $2,004.580 "," $1,376.050 "," $1,045.725 "," $3,079.14 "
I3 High I/O Large,i3.large,i3,8 units,Yes,x86_64,, $125.560 , $86.140 , $111.033 , $192.72 
I3 High I/O Metal,i3.metal,i3,208 units,Yes,x86_64,," $3,644.160 "," $2,501.710 "," $1,225.086 "," $5,793.28 "
I3 High I/O Extra Large,i3.xlarge,i3,16 units,Yes,x86_64,, $250.390 , $156.220 , $175.273 , $384.71 
I3EN 12xlarge Extra Large,i3en.12xlarge,i3en,168 units,Yes,x86_64,," $4,216.480 "," $2,953.580 "," $1,762.439 "," $5,828.32 "
I3EN 24xlarge,i3en.24xlarge,i3en,337 units,Yes,x86_64,," $7,919.040 "," $5,393.240 "," $3,932.437 "," $11,142.72 "
I3EN Double Extra Large,i3en.2xlarge,i3en,37 units,Yes,x86_64,, $702.990 , $449.680 , $416.027 , $971.63 
I3EN 3xlarge,i3en.3xlarge,i3en,0 units,Yes,x86_64,," $1,054.120 ", $674.520 , $485.085 ," $1,457.08 "
I3EN 6xlarge,i3en.6xlarge,i3en,0 units,Yes,x86_64,," $2,108.240 "," $1,476.790 "," $1,008.641 "," $2,914.16 "
I3EN Large,i3en.large,i3en,10 units,Yes,x86_64,, $175.930 , $112.420 , $106.872 , $243.09 
I3EN Metal,i3en.metal,i3en,0 units,Yes,x86_64,," $7,919.040 "," $5,393.240 "," $2,703.701 "," $11,142.72 "
I3EN Extra Large,i3en.xlarge,i3en,0 units,Yes,x86_64,, $351.130 , $224.840 , $159.797 , $485.45 
I3P 16xlarge Extra Large,i3p.16xlarge,i3p,201 units,unknown,x86_64,, unavailable , unavailable , unavailable , unavailable 
I4G 16xlarge Extra Large,i4g.16xlarge,i4g,0 units,unknown,arm64,," $3,607.718 "," $2,341.198 "," $2,481.416 ", unavailable 
I4G Double Extra Large,i4g.2xlarge,i4g,0 units,unknown,arm64,, $496.064 , $321.915 , $281.269 , unavailable 
I4G Quadruple Extra Large,i4g.4xlarge,i4g,0 units,unknown,arm64,, $992.121 , $643.831 , $529.615 , unavailable 
I4G Eight Extra Large,i4g.8xlarge,i4g,0 units,unknown,arm64,," $1,984.242 "," $1,287.662 "," $1,205.595 ", unavailable 
I4G Large,i4g.large,i4g,0 units,unknown,arm64,, $124.012 , $73.161 , $82.782 , unavailable 
I4G Extra Large,i4g.xlarge,i4g,0 units,unknown,arm64,, $248.032 , $146.329 , $145.781 , unavailable 
I4I 12xlarge Extra Large,i4i.12xlarge,i4i,0 units,Yes,x86_64,," $3,306.900 "," $1,950.560 "," $2,339.504 "," $4,918.74 "
I4I 16xlarge Extra Large,i4i.16xlarge,i4i,0 units,Yes,x86_64,," $4,409.200 "," $2,861.600 "," $2,650.557 "," $6,558.32 "
I4I 24xlarge,i4i.24xlarge,i4i,0 units,Yes,x86_64,," $6,614.150 "," $3,901.792 "," $2,178.101 "," $9,837.83 "
